datetime,open,high,low,close,volume,open_interest
2023-01-03T00:00:00,7.27,7.28,7.17,7.23,258925.21,0.0
2023-01-04T00:00:00,7.27,7.35,7.23,7.31,309470.81,0.0
2023-01-05T00:00:00,7.37,7.38,7.3,7.35,301621.54,0.0
2023-01-06T00:00:00,7.35,7.38,7.31,7.34,203128.81,0.0
2023-01-07T00:00:00,7.35,7.38,7.31,7.34,203128.81,0.0
2023-01-08T00:00:00,7.35,7.38,7.31,7.34,203128.81,0.0
2023-01-09T00:00:00,7.38,7.38,7.3,7.34,196122.6,0.0
2023-01-10T00:00:00,7.35,7.35,7.28,7.28,161946.47,0.0
2023-01-11T00:00:00,7.31,7.34,7.27,7.3,192155.41,0.0
2023-01-12T00:00:00,7.33,7.34,7.24,7.27,168499.08,0.0
2023-01-13T00:00:00,7.29,7.35,7.27,7.34,217702.11,0.0
2023-01-14T00:00:00,7.29,7.35,7.27,7.34,217702.11,0.0
2023-01-15T00:00:00,7.29,7.35,7.27,7.34,217702.11,0.0
2023-01-16T00:00:00,7.35,7.38,7.28,7.33,368169.41,0.0
2023-01-17T00:00:00,7.34,7.35,7.27,7.3,242226.13,0.0
2023-01-18T00:00:00,7.31,7.33,7.27,7.31,244945.51,0.0
2023-01-19T00:00:00,7.31,7.33,7.26,7.33,167133.52,0.0
2023-01-20T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-21T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-22T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-23T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-24T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-25T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-26T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-27T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-28T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-29T00:00:00,7.34,7.36,7.32,7.36,209869.58,0.0
2023-01-30T00:00:00,7.43,7.43,7.37,7.4,318107.39,0.0
2023-01-31T00:00:00,7.42,7.45,7.37,7.37,284382.2,0.0
