datetime,open,high,low,close,volume,open_interest
2023-01-03T00:00:00,37.08,37.78,36.53,37.58,606266.16,0.0
2023-01-04T00:00:00,37.78,38.83,37.53,38.65,836454.11,0.0
2023-01-05T00:00:00,38.99,39.27,38.4,38.5,619085.19,0.0
2023-01-06T00:00:00,38.66,38.93,37.89,38.38,590006.99,0.0
2023-01-07T00:00:00,38.66,38.93,37.89,38.38,590006.99,0.0
2023-01-08T00:00:00,38.66,38.93,37.89,38.38,590006.99,0.0
2023-01-09T00:00:00,38.41,39.1,38.41,38.8,499148.86,0.0
2023-01-10T00:00:00,38.78,38.8,38.16,38.25,541971.59,0.0
2023-01-11T00:00:00,38.38,39.18,38.14,38.92,541706.98,0.0
2023-01-12T00:00:00,39.11,39.15,38.73,39.05,304348.71,0.0
2023-01-13T00:00:00,39.07,39.66,38.97,39.66,463767.08,0.0
2023-01-14T00:00:00,39.07,39.66,38.97,39.66,463767.08,0.0
2023-01-15T00:00:00,39.07,39.66,38.97,39.66,463767.08,0.0
2023-01-16T00:00:00,40.0,41.14,39.8,40.47,880468.55,0.0
2023-01-17T00:00:00,40.45,40.94,40.28,40.68,432047.05,0.0
2023-01-18T00:00:00,40.65,40.95,40.23,40.38,294674.72,0.0
2023-01-19T00:00:00,40.2,40.8,39.92,40.65,472490.21,0.0
2023-01-20T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-21T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-22T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-23T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-24T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-25T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-26T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-27T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-28T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-29T00:00:00,40.98,41.1,40.68,41.05,413402.73,0.0
2023-01-30T00:00:00,42.55,42.63,41.85,42.03,1007007.4,0.0
2023-01-31T00:00:00,42.35,42.35,41.21,41.21,642311.85,0.0
